anio,obra_civil_eur,altas_abast_eur,altas_mayorista_eur,equipos_acceso_eur,infra_agregacio_eur,contingencia_eur,total_eur
1,35000000,66480000,10073,856000,24320200,10133302,136799575
2,35000000,8400000,6435,826000,0,3538595,47771030
3,34900000,9240000,11088,904100,0,3604415,48659603
4,34800000,7080000,17127,782200,0,3414346,46093673
5,35000000,1960000,15469,347900,0,2985870,40309238
6,35000000,4480000,27250,795200,0,3224196,43526646
7,34800000,1400000,23958,417500,0,2931317,39572775
8,35000000,700000,21830,238000,0,2876786,38836616
9,35000000,260000,23562,88400,0,2829757,38201719
10,35000000,0,25295,0,0,2802024,37827318
11,35000000,0,10890,0,0,2800871,37811761
12,35000000,0,8662,0,0,2800693,37809356
13,35000000,0,8662,0,0,2800693,37809356
14,28000000,0,6930,0,0,2240554,30247484
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
