anio,ingresos_eur,opex_eur,ebitda_eur,capex_eur,amortizacion_eur,ebit_eur,resultado_neto_eur,fcl_eur,fcl_acumulado_eur
1,39954483,6695284,33259199,136799575,9119972,24139227,18104420,-103540376,-103540376
2,45073763,7369867,37703896,47771030,12304707,25399189,19049392,-10067134,-113607510
3,50724287,8100785,42623502,48659603,15548681,27074821,20306116,-6036101,-119643611
4,55114015,8760080,46353935,46093673,18621592,27732343,20799257,260262,-119383349
5,56414760,9286772,47127988,40309238,21308875,25819113,19364335,6818750,-112564599
6,59306918,9960353,49346565,43526646,24210651,25135914,18851936,5819919,-106744680
7,60317569,10541202,49776367,39572775,26848836,22927531,17195648,10203592,-96541088
8,60897464,11042309,49855155,38836616,29437944,20417211,15312908,11018539,-85522549
9,61226922,11600985,49625937,38201719,31984725,17641212,13230909,11424218,-74098331
10,61410082,12167819,49242263,37827318,34506546,14735717,11051788,11414945,-62683386
11,61449558,12742297,48707261,37811761,37027330,11679931,8759948,10895500,-51787886
12,61495840,13270951,48224889,37809356,39547954,8676935,6507701,10415533,-41372353
13,61544350,13892862,47651488,37809356,42068578,5582910,4187183,9842132,-31530221
14,61581426,14512320,47069106,30247484,44085077,2984029,2238022,16821622,-14708599
15,61574496,14886621,46687875,0,44085077,2602798,1952099,46687875,31979276
16,61574496,15273079,46301417,0,44085077,2216340,1662255,46301417,78280693
17,61574496,15671131,45903365,0,44085077,1818288,1363716,45903365,124184058
18,61574496,16081124,45493372,0,44085077,1408295,1056222,45493372,169677430
19,61574496,16503417,45071079,0,44085077,986002,739502,45071079,214748509
20,61574496,16938379,44636117,0,44085077,551040,413280,44636117,259384626
