anio,sedes_abast_activas,sedes_mayorista_activas,ingresos_abast_eur,ingresos_mayo_alta_eur,ingresos_mayo_rec_eur,total_eur
1,3324,6.72,39888000,10073,56410,39954483
2,3744,15.74,44928000,13538,132224,45073763
3,4206,27.87,50472000,18191,234095,50724287
4,4560,44.02,54720000,24230,369785,55114015
5,4658,59.07,55896000,22572,496188,56414760
6,4882,81.97,58584000,34353,688565,59306918
7,4952,102.68,59424000,31061,862508,60317569
8,4987,121.97,59844000,28933,1024531,60897464
9,5000,142.41,60000000,30665,1196257,61226922
10,5000,164.01,60000000,32398,1377684,61410082
11,5000,171.27,60000000,10890,1438668,61449558
12,5000,177.05,60000000,8662,1487178,61495840
13,5000,182.82,60000000,8662,1535688,61544350
14,5000,187.44,60000000,6930,1574496,61581426
15,5000,187.44,60000000,0,1574496,61574496
16,5000,187.44,60000000,0,1574496,61574496
17,5000,187.44,60000000,0,1574496,61574496
18,5000,187.44,60000000,0,1574496,61574496
19,5000,187.44,60000000,0,1574496,61574496
20,5000,187.44,60000000,0,1574496,61574496
